naming:conventions,mesh,Computed,3
predicative:information,nominals,Computed,3
assignments,discriminative:training:criterion,Computed,1
strand,automatic:language:identification,Computed,4
inheritance,hierarchies,Computed,3
paktus,jintaccs:messages,Computed,1
lfg,completeness,Computed,3
cmu,sri:toolkit,Computed,6
coordinate:phrases,conjuncts,Computed,4
guis,crl:s:tipster:user:interface:toolkit:tuit,Computed,1
documents,genres,Computed,3
translates,natural:language,Computed,3
stems,unsegmented:corpus,Computed,4
expectations,scruffy:texts,Computed,1
language:pairs,glosser,Computed,3
clustering:and:filtering:processes,electronic:newsgroup:discussions,Computed,1
algorithms,intractability,Computed,1
wordbreaks,chinese:text:corpora,Computed,4
lexsys,xtag,Computed,6
repository,data:objects,Computed,4
hbg,lexical:syntactic:semantic:and:structural:information,Computed,1
speech:and:text:image:processing,xerox:parc,Computed,5
directionality,dictionaries,Computed,3
procedures,comparator,Computed,1
feedback,discourse,Computed,3
guide,shared:derivation:forest,Computed,1
defeat:rules,defeasibility,Computed,3
reestimation:formulas,hmm:with:gaussian:mixture:observation:densities,Computed,1
polysemy,clusters,Computed,3
grammar:checker,basque,Computed,1
pronoun:il,ana,Computed,3
coherence,essays,Computed,3
computer:assisted:acquisition:and:morpho:syntactic:description:of:verb:noun:collocations,polish,Computed,1
seeds,concept,Computed,3
inflection,english,Computed,3
semantic:expressibility,ctl,Computed,3
lms,confidence:measures,Computed,3
annotating:scheme,honorifics,Computed,3
subtrees,representation:tree,Computed,4
hardware:designs,model:checking,Computed,1
coordinations,strictly:syntactic:cross:serial:agreement,Computed,3
lm,confidence,Computed,3
statistical:method,taggers,Computed,6
polarization,elementary:structures,Computed,1
precision:rate,ilimp,Computed,2
gpsg,lt:lf,Computed,6
japanese:script,ideograms,Computed,4
bulgarian,free:word:order,Computed,3
oral:communication,indices,Computed,1
formalization,defeasible:reasoning,Computed,3
collocations,czech:wordnet,Computed,4
indexing,character:bigrams,Computed,1
priors,conditional:loglinear:models,Computed,1
declarative:formalism,mappings,Computed,1
saturation,structure,Computed,3
discourse:segmentation,abduction,Computed,1
kpsg,phonological:system,Computed,1
